v_id,lon,lat,color
13357,-102.8684382,49.08830946,ko
24029,-111.4549367,32.94488921,ko
4447,-99.96865547,20.42872408,ko
16079,-103.3674796,34.16843447,ko
30922,-112.1178966,32.84617317,ro
28995,-79.40632692,34.74806045,ko
28994,-77.45748461,34.72472525,ko
28997,-77.70432308,37.50274141,ko
28996,-79.77173469,34.21613526,ko
11546,-95.13835696,35.55266696,ro
11547,-97.9951547,20.21255648,ko
28993,-77.87736957,34.32878634,ko
28992,-123.8630611,44.02240074,ko
11548,-82.34825353,42.57850248,ko
11549,-95.92335255,40.36422441,ko
28999,-78.3684893,35.25136911,ko
28998,-77.83336255,35.95152281,ko
5988,-77.7605485,43.10055857,ro
19399,-119.0077797,47.95886829,ko
19398,-119.013619,47.9410285,ko
5982,-77.68384526,43.05457211,ro
19395,-117.5141131,47.75396569,ko
19394,-122.2110049,48.44137346,ro
5986,-95.4131254,46.35545334,ko
19392,-122.0962025,47.93633569,ro
5984,-96.03910821,46.31585654,ro
19390,-122.1756528,47.81437778,ko
22261,-78.79288845,42.81721196,ko
22260,-78.81220564,42.80278291,ko
22263,-78.80712656,42.809862,ko
22262,-78.80736031,42.80975821,ko
22265,-78.8378529,42.82097557,ko
22264,-78.83705546,42.82045207,ko
22267,-78.85301996,42.85203602,ko
22266,-78.84233684,42.8389505,ko
22269,-78.85324607,42.85207152,ko
22268,-78.85355114,42.85240956,ko
25063,-70.47666958,43.38575498,ko
25066,-86.72099963,31.65248492,ko
6487,-97.2127838,37.3048883,ko
25069,-70.57371655,41.73615671,ko
19714,-119.3093074,45.91489908,ko
6794,-87.19011119,30.77972852,ko
6795,-86.91358624,30.86630973,ko
6792,-116.3727395,43.6475939,ko
6793,-86.55897756,30.71432525,ko
6790,-81.76881839,26.67294747,ro
11540,-83.67934387,43.10782288,ko
6799,-86.2853865,31.23783404,ro
13549,-95.91232025,33.25504068,ko
28991,-78.9712491,35.12666783,ro
28990,-78.6997639,34.31875359,ro
25288,-88.34591499,44.86152467,ko
25289,-88.35023328,44.8615963,ko
25286,-88.12103245,45.02349302,ko
25287,-88.24600831,44.91408797,ko
11545,-95.18487756,35.62752569,ro
25280,-122.2392861,47.33718891,ko
19973,-67.23661469,45.96798708,ko
271,-111.7049032,33.32938497,ko
273,-119.5291316,47.10528356,ko
19977,-76.11269688,44.71637548,ro
16708,-81.92153993,28.09161632,ro
19975,-67.58952297,46.17183581,ko
16254,-85.52673737,43.74493319,ko
278,-117.9196477,34.5090173,ko
279,-83.46515219,42.31010551,ro
19979,-76.11268431,44.71601251,ro
19978,-76.11299827,44.71591478,ro
16701,-99.28329461,19.48165047,ko
16700,-81.88883211,27.93268961,ro
16702,-99.18021633,19.63881304,ro
22485,-80.29623974,43.3774171,ko
12019,-83.40901821,43.47331859,ko
22480,-97.52785045,37.99229442,ko
12015,-83.30081268,43.05051384,ro
12014,-83.29422467,42.67054473,ko
12017,-83.37920668,43.26264386,ko
12016,-83.30171069,43.08355643,ro
12011,-83.28924134,42.65564947,ko
12010,-83.25891002,42.64855324,ko
12013,-83.29695006,42.66014385,ko
12012,-83.29434632,42.65859739,ko
17259,-118.347489,34.08814319,ko
26397,-95.23221724,29.80540707,ko
24810,-77.37617805,38.76741469,ro
17252,-91.21787521,38.19611017,ko
17253,-91.27314785,38.16675623,ko
26399,-105.085996,39.91291236,ro
30703,-100.9940317,22.32787946,ko
15952,-89.57118772,36.57755846,ko
9529,-122.2629944,39.5395165,ro
9258,-84.43271393,34.29055099,ko
9256,-84.49510869,34.23943578,ko
